Source Name,Type,Key Aesthetic/UI Feature
Stripe,Web App,Clean minimalist design with subtle gradients
Vercel,Web App,Dark mode excellence with high contrast typography
Linear,Web App,Keyboard-first navigation with snappy interactions
Apple,Web App,Large imagery with smooth scroll animations
Airbnb,Web App,Card-based layout with soft shadows
Spotify,Web App,Dark theme with vibrant album art accents
Notion,Web App,Minimalist black and white aesthetic
Figma,Web App,Tool-centric interface with highly responsive canvas
Discord,Web App,Playful dark mode with distinct sidebars
Slack,Web App,Colorful sidebar with clean chat interface
Robinhood,Web App,Gamified financial dashboard with bright neon colors
Cash App,Web App,Minimalist green and white interface
Duolingo,Web App,Playful gamified learning with flat vector art
Headspace,Web App,Calming pastel color palette with soft shapes
Calm,Web App,Relaxing ambient backgrounds with minimal UI
Uber,Web App,Utilitarian map-first interface with bold typography
Lyft,Web App,Bright pink accents with rounded UI elements
Netflix,Web App,Image-heavy dark UI with horizontal carousels
Hulu,Web App,Neon green accents on dark background
Disney+,Web App,Deep blue background with dynamic brand tiles
HBO Max,Web App,Premium purple gradients with large hero banners
YouTube,Web App,Content-dense grid with minimal chrome
Twitch,Web App,Purple theme with dense chat and video layout
Instagram,Web App,Photo-first layout with minimal borders
TikTok,Web App,Full-screen vertical video with overlaid UI
Snapchat,Web App,Camera-first interface with swipe navigation
Pinterest,Web App,Masonry grid layout with image cards
Twitter,Web App,Timeline-based microblogging with light/dark modes
LinkedIn,Web App,Professional blue theme with card-based feed
GitHub,Web App,Developer-focused UI with dense information hierarchy
GitLab,Web App,Comprehensive DevOps UI with sidebar navigation
Bitbucket,Web App,Atlassian design system with clean blue/white aesthetics
Jira,Web App,Complex issue tracking with Kanban boards
Trello,Web App,Visual Kanban boards with draggable cards
Asana,Web App,Colorful task management with completion animations
Monday.com,Web App,Highly colorful grid-based project management
ClickUp,Web App,Dense feature-rich UI with customizable views
Basecamp,Web App,Unique document-centric project layout
Zendesk,Web App,Customer support interface with dense data tables
Intercom,Web App,Friendly chat bubble UI with modern rounded aesthetic
Mailchimp,Web App,Quirky illustrations with clean marketing dashboard
Shopify,Web App,E-commerce admin with clear analytics and green accents
Square,Web App,Minimalist point-of-sale interface
PayPal,Web App,Trustworthy blue theme with simple transaction views
Venmo,Web App,Social feed integrated with financial transactions
Mint,Web App,Financial overview with pie charts and green accents
YNAB,Web App,Detailed budgeting grid with distinct color coding
Wealthfront,Web App,Robo-advisor with automated projection graphs
Betterment,Web App,Goal-based financial planning UI with soft colors
Coinbase,Web App,Crypto dashboard with clean charts and blue theme
Stripe Mobile,Web App,Clean minimalist design with subtle gradients
Vercel Web,Web App,Dark mode excellence with high contrast typography
Linear Mobile,Web App,Keyboard-first navigation with snappy interactions
Apple Web,Web App,Large imagery with smooth scroll animations
Airbnb Mobile,Web App,Card-based layout with soft shadows
Spotify Web,Web App,Dark theme with vibrant album art accents
Notion Mobile,Web App,Minimalist black and white aesthetic
Figma Web,Web App,Tool-centric interface with highly responsive canvas
Discord Mobile,Web App,Playful dark mode with distinct sidebars
Slack Web,Web App,Colorful sidebar with clean chat interface
Robinhood Mobile,Web App,Gamified financial dashboard with bright neon colors
Cash App Web,Web App,Minimalist green and white interface
Duolingo Mobile,Web App,Playful gamified learning with flat vector art
Headspace Web,Web App,Calming pastel color palette with soft shapes
Calm Mobile,Web App,Relaxing ambient backgrounds with minimal UI
Uber Web,Web App,Utilitarian map-first interface with bold typography
Lyft Mobile,Web App,Bright pink accents with rounded UI elements
Netflix Web,Web App,Image-heavy dark UI with horizontal carousels
Hulu Mobile,Web App,Neon green accents on dark background
Disney+ Web,Web App,Deep blue background with dynamic brand tiles
HBO Max Mobile,Web App,Premium purple gradients with large hero banners
YouTube Web,Web App,Content-dense grid with minimal chrome
Twitch Mobile,Web App,Purple theme with dense chat and video layout
Instagram Web,Web App,Photo-first layout with minimal borders
TikTok Mobile,Web App,Full-screen vertical video with overlaid UI
Snapchat Web,Web App,Camera-first interface with swipe navigation
Pinterest Mobile,Web App,Masonry grid layout with image cards
Twitter Web,Web App,Timeline-based microblogging with light/dark modes
LinkedIn Mobile,Web App,Professional blue theme with card-based feed
GitHub Web,Web App,Developer-focused UI with dense information hierarchy
GitLab Mobile,Web App,Comprehensive DevOps UI with sidebar navigation
Bitbucket Web,Web App,Atlassian design system with clean blue/white aesthetics
Jira Mobile,Web App,Complex issue tracking with Kanban boards
Trello Web,Web App,Visual Kanban boards with draggable cards
Asana Mobile,Web App,Colorful task management with completion animations
Monday.com Web,Web App,Highly colorful grid-based project management
ClickUp Mobile,Web App,Dense feature-rich UI with customizable views
Basecamp Web,Web App,Unique document-centric project layout
Zendesk Mobile,Web App,Customer support interface with dense data tables
Intercom Web,Web App,Friendly chat bubble UI with modern rounded aesthetic
Mailchimp Mobile,Web App,Quirky illustrations with clean marketing dashboard
Shopify Web,Web App,E-commerce admin with clear analytics and green accents
Square Mobile,Web App,Minimalist point-of-sale interface
PayPal Web,Web App,Trustworthy blue theme with simple transaction views
Venmo Mobile,Web App,Social feed integrated with financial transactions
Mint Web,Web App,Financial overview with pie charts and green accents
YNAB Mobile,Web App,Detailed budgeting grid with distinct color coding
Wealthfront Web,Web App,Robo-advisor with automated projection graphs
Betterment Mobile,Web App,Goal-based financial planning UI with soft colors
Coinbase Web,Web App,Crypto dashboard with clean charts and blue theme
Persona 5,Game,Extremely stylish red/black menus with dynamic transitions
Hades,Game,Hand-painted isometric art with divine gold UI accents
Destiny 2,Game,Minimalist cursor-based UI with holographic elements
Elden Ring,Game,Classic fantasy parchment UI with minimal HUD
Ghost of Tsushima,Game,Minimalist cinematic HUD guided by wind
Cyberpunk 2077,Game,Neon-drenched glitch aesthetic with red/cyan UI
Nier: Automata,Game,Diegetic beige and brown terminal-style menus
Overwatch 2,Game,Clean hero-shooter UI with italicized bold typography
Valorant,Game,Sharp geometric UI with stark color contrasts
Apex Legends,Game,Sci-fi battle royale UI with dynamic ping system
Genshin Impact,Game,Clean mobile-friendly anime aesthetic with elemental colors
Honkai: Star Rail,Game,Sleek sci-fi astral train aesthetic
Zelda: Breath of the Wild,Game,Minimalist unobtrusive HUD with soft sound effects
Zelda: Tears of the Kingdom,Game,Ethereal green Zonai magic aesthetic
Super Smash Bros. Ultimate,Game,Highly dynamic angled menus with vibrant colors
Mario Kart 8 Deluxe,Game,Colorful glossy UI with bold typography
Animal Crossing,Game,Cute rounded UI with pastel colors and ticket themes
Splatoon 3,Game,Punk rock graffiti aesthetic with neon ink colors
Hollow Knight,Game,Hand-drawn gothic UI with soul-vessel meters
Ori and the Will of the Wisps,Game,Ethereal glowing UI matching lush environments
Celeste,Game,Pixel art UI with mountain climbing motifs
Dead Cells,Game,Gritty pixel art with neon purple/yellow accents
Slay the Spire,Game,Card game UI with distinct class color coding
Disco Elysium,Game,Painterly oil-brush aesthetic with mind-cabinet UI
The Witcher 3,Game,Medieval fantasy UI with detailed inventory grids
Red Dead Redemption 2,Game,Vintage wild west catalog aesthetic
Grand Theft Auto V,Game,Clean smartphone-based diegetic UI
Death Stranding,Game,Clean utilitarian holographic UI with Bridges branding
Horizon Zero Dawn,Game,Tribal futuristic UI with focus-mode overlays
God of War Ragnarok,Game,Norse mythology runic UI with stone textures
Spider-Man: Miles Morales,Game,Urban neon UI with web-shooter motifs
The Last of Us Part II,Game,Minimalist survival HUD with physical crafting UI
Uncharted 4,Game,Adventure notebook aesthetic for menus
Final Fantasy VII Remake,Game,Modernized blue ATB menus with sleek sci-fi elements
Final Fantasy XVI,Game,High fantasy crystal aesthetic with dark backgrounds
Bloodborne,Game,Gothic Victorian UI with blood-vial motifs
Sekiro,Game,Feudal Japanese ink-brush UI aesthetics
Dark Souls III,Game,Ashen dark fantasy UI with ember motifs
Demon's Souls Remake,Game,Pristine high-fidelity dark fantasy UI
Returnal,Game,Sci-fi bullet hell UI with particle effects
Ratchet & Clank: Rift Apart,Game,Vibrant futuristic UI with weapon wheels
Doom Eternal,Game,Aggressive red/orange heavy metal UI
Halo Infinite,Game,Utilitarian UNSC military UI with blue holograms
Forza Horizon 5,Game,Festival-themed colorful UI with glossy car showcases
Sea of Thieves,Game,Pirate-themed parchment UI with diegetic maps
Flight Simulator,Game,Clean aviation-style instrument panel UI
Minecraft,Game,Blocky pixel-art UI with dirt textures
Terraria,Game,Dense pixel-art inventory with classic RPG slots
Stardew Valley,Game,Charming pixel-art farming UI with wooden borders
Factorio,Game,Industrial complex UI with dense logistics menus
Persona 5 (Expansion),Game,Extremely stylish red/black menus with dynamic transitions
Hades (Remaster),Game,Hand-painted isometric art with divine gold UI accents
Destiny 2 (Expansion),Game,Minimalist cursor-based UI with holographic elements
Elden Ring (Remaster),Game,Classic fantasy parchment UI with minimal HUD
Ghost of Tsushima (Expansion),Game,Minimalist cinematic HUD guided by wind
Cyberpunk 2077 (Remaster),Game,Neon-drenched glitch aesthetic with red/cyan UI
Nier: Automata (Expansion),Game,Diegetic beige and brown terminal-style menus
Overwatch 2 (Remaster),Game,Clean hero-shooter UI with italicized bold typography
Valorant (Expansion),Game,Sharp geometric UI with stark color contrasts
Apex Legends (Remaster),Game,Sci-fi battle royale UI with dynamic ping system
Genshin Impact (Expansion),Game,Clean mobile-friendly anime aesthetic with elemental colors
Honkai: Star Rail (Remaster),Game,Sleek sci-fi astral train aesthetic
Zelda: Breath of the Wild (Expansion),Game,Minimalist unobtrusive HUD with soft sound effects
Zelda: Tears of the Kingdom (Remaster),Game,Ethereal green Zonai magic aesthetic
Super Smash Bros. Ultimate (Expansion),Game,Highly dynamic angled menus with vibrant colors
Mario Kart 8 Deluxe (Remaster),Game,Colorful glossy UI with bold typography
Animal Crossing (Expansion),Game,Cute rounded UI with pastel colors and ticket themes
Splatoon 3 (Remaster),Game,Punk rock graffiti aesthetic with neon ink colors
Hollow Knight (Expansion),Game,Hand-drawn gothic UI with soul-vessel meters
Ori and the Will of the Wisps (Remaster),Game,Ethereal glowing UI matching lush environments
Celeste (Expansion),Game,Pixel art UI with mountain climbing motifs
Dead Cells (Remaster),Game,Gritty pixel art with neon purple/yellow accents
Slay the Spire (Expansion),Game,Card game UI with distinct class color coding
Disco Elysium (Remaster),Game,Painterly oil-brush aesthetic with mind-cabinet UI
The Witcher 3 (Expansion),Game,Medieval fantasy UI with detailed inventory grids
Red Dead Redemption 2 (Remaster),Game,Vintage wild west catalog aesthetic
Grand Theft Auto V (Expansion),Game,Clean smartphone-based diegetic UI
Death Stranding (Remaster),Game,Clean utilitarian holographic UI with Bridges branding
Horizon Zero Dawn (Expansion),Game,Tribal futuristic UI with focus-mode overlays
God of War Ragnarok (Remaster),Game,Norse mythology runic UI with stone textures
Spider-Man: Miles Morales (Expansion),Game,Urban neon UI with web-shooter motifs
The Last of Us Part II (Remaster),Game,Minimalist survival HUD with physical crafting UI
Uncharted 4 (Expansion),Game,Adventure notebook aesthetic for menus
Final Fantasy VII Remake (Remaster),Game,Modernized blue ATB menus with sleek sci-fi elements
Final Fantasy XVI (Expansion),Game,High fantasy crystal aesthetic with dark backgrounds
Bloodborne (Remaster),Game,Gothic Victorian UI with blood-vial motifs
Sekiro (Expansion),Game,Feudal Japanese ink-brush UI aesthetics
Dark Souls III (Remaster),Game,Ashen dark fantasy UI with ember motifs
Demon's Souls Remake (Expansion),Game,Pristine high-fidelity dark fantasy UI
Returnal (Remaster),Game,Sci-fi bullet hell UI with particle effects
Ratchet & Clank: Rift Apart (Expansion),Game,Vibrant futuristic UI with weapon wheels
Doom Eternal (Remaster),Game,Aggressive red/orange heavy metal UI
Halo Infinite (Expansion),Game,Utilitarian UNSC military UI with blue holograms
Forza Horizon 5 (Remaster),Game,Festival-themed colorful UI with glossy car showcases
Sea of Thieves (Expansion),Game,Pirate-themed parchment UI with diegetic maps
Flight Simulator (Remaster),Game,Clean aviation-style instrument panel UI
Minecraft (Expansion),Game,Blocky pixel-art UI with dirt textures
Terraria (Remaster),Game,Dense pixel-art inventory with classic RPG slots
Stardew Valley (Expansion),Game,Charming pixel-art farming UI with wooden borders
Factorio (Remaster),Game,Industrial complex UI with dense logistics menus
